Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
01/01/17,"1 PINTAIL HOUSE, REDCOURT OAKS, SEAFIELD RD EAST",Dublin 3,Dublin,242424,Yes,No,Second-Hand Dwelling house /Apartment,
01/01/17,"11 PINTAIL HOUSE, REDCOURT OAKS, SEAFIELD RD EAST",Dublin 3,Dublin,242424,Yes,No,Second-Hand Dwelling house /Apartment,
01/01/17,"124 SEAFIELD RD, CLONTARF, DUBLIN 3",Dublin 3,Dublin,535500,Yes,No,Second-Hand Dwelling house /Apartment,
01/01/17,"126 SEAFIELD RD, CLONTARF, DUBLIN 3",Dublin 3,Dublin,630000,No,No,Second-Hand Dwelling house /Apartment,
01/01/17,"128 SEAFIELD RD, CLONTARF, DUBLIN 3",Dublin 3,Dublin,535500,Yes,No,Second-Hand Dwelling house /Apartment,
01/01/17,"13 PINTAIL HOUSE, REDCOURT OAKS, SEAFIELD RD EAST DUBLIN 3",Dublin 3,Dublin,271800,Yes,No,Second-Hand Dwelling house /Apartment,
01/01/17,"18 PINTAIL HOUSE, REDCOURT OAKS, SEAFIELD RD EAST",Dublin 3,Dublin,242424,Yes,No,Second-Hand Dwelling house /Apartment,
01/01/17,"20 PINTAIL HOUSE, REDCOURT OAKS, SEAFIELD RD EAST DUBLIN 3",Dublin 3,Dublin,360000,No,No,Second-Hand Dwelling house /Apartment,
01/01/17,"25 PINTAIL HOUSE, REDCOURT OAKS, SEAFIELD RD EAST",Dublin 3,Dublin,148148,Yes,No,Second-Hand Dwelling house /Apartment,
01/01/17,"32 PINTAIL HOUSE, REDCOURT OAKS, SEAFIELD RD EAST DUBLIN 3",Dublin 3,Dublin,352800,Yes,No,Second-Hand Dwelling house /Apartment,
01/01/17,"35 PINTAIL HOUSE, REDCOURT OAKS, SEAFIELD RD EAST DUBLIN 3",Dublin 3,Dublin,215600,Yes,No,Second-Hand Dwelling house /Apartment,
01/01/17,"5 SEAFIELD GROVE, CLONTARF, DUBLIN 3",Dublin 3,Dublin,830000,No,No,Second-Hand Dwelling house /Apartment,
01/01/17,"8 PINTAIL HOUSE, REDCOURT OAKS, SEAFIELD RD EAST DUBLIN 3",Dublin 3,Dublin,271800,Yes,No,Second-Hand Dwelling house /Apartment,
01/01/17,"9 TEAL HOUSE, REDCOURT OAKS SEAFIELD RD EAST, CLONTARF",Dublin 3,Dublin,66000,Yes,No,Second-Hand Dwelling house /Apartment,
02/01/17,"31 UPPER DRUMCONDRA ROAD, DRUMCONDRA, DUBLIN 9",,Dublin,260000,No,No,Second-Hand Dwelling house /Apartment,
03/01/17,"114 SHELMARTIN AVE, MARINO, DUBLIN 3",Dublin 3,Dublin,375000,No,No,Second-Hand Dwelling house /Apartment,
03/01/17,"13 THE VIEW, ROBSWALL, MALAHIDE",,Dublin,575000,No,No,Second-Hand Dwelling house /Apartment,
03/01/17,"180 THE LINKS, ELM PARK, MERRION RD DUBLIN 4",Dublin 4,Dublin,292000,No,No,Second-Hand Dwelling house /Apartment,
03/01/17,"4 Park lane, Belltree, Clongriffen",,Dublin,255507,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
03/01/17,"74 ST MAGDALEN TERRACE, STELLA GARDENS, IRISHTOWN DUBLIN 4",Dublin 4,Dublin,452000,No,No,Second-Hand Dwelling house /Apartment,
03/01/17,"83 UPPER TREES RD, MOUNT MERRION, DUBLIN",,Dublin,260000,No,No,Second-Hand Dwelling house /Apartment,
04/01/17,"117 BALALLY DR, DUNDRUM, DUBLIN 16",Dublin 16,Dublin,625000,No,No,Second-Hand Dwelling house /Apartment,
04/01/17,"128B MERRION RD, BALLSBRIDGE, DUBLIN 4",,Dublin,1150000,No,No,Second-Hand Dwelling house /Apartment,
04/01/17,"129 THE LINKS, ELMPARK, MERRION RD DUBLIN 4",Dublin 4,Dublin,100000,No,No,Second-Hand Dwelling house /Apartment,
04/01/17,"130 THE LINKS, ELMPARK, MERRION RD DUBLIN 4",Dublin 4,Dublin,100000,No,No,Second-Hand Dwelling house /Apartment,
04/01/17,"16 YORK COURT, YORK RD, DUNLAOIGHAIRE",,Dublin,222500,No,No,Second-Hand Dwelling house /Apartment,
04/01/17,"18 GAZELLE LANE, TYRRELSTOWN, DUBLIN 15",Dublin 15,Dublin,210000,No,No,Second-Hand Dwelling house /Apartment,
04/01/17,"184 LARAGHCON, LUCAN, DUBLIN",,Dublin,735000,No,No,Second-Hand Dwelling house /Apartment,
04/01/17,"2 KILCLARE AVENUE, JOBSTOWN, TALLAGHT",,Dublin,140000,No,No,Second-Hand Dwelling house /Apartment,
04/01/17,"23 OAKLANDS DR, RATHGAR, DUBLIN 6",Dublin 6,Dublin,915000,No,No,Second-Hand Dwelling house /Apartment,
04/01/17,"26 LONGSTOWN PARK, PORTRANE, DUBLIN",,Dublin,210000,No,No,Second-Hand Dwelling house /Apartment,
04/01/17,"29 Dodderbrook Park, Oldcourt Road, Ballycullen",,Dublin,405000,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
04/01/17,"31 Ballygossan Park, Golf Links Road, Skerries",,Dublin,286344,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
04/01/17,"31 CHERRY ORCHARD GREEN, CHERRY ORCHARD, BALLYFERMOT DUBLIN 10",Dublin 10,Dublin,161000,No,No,Second-Hand Dwelling house /Apartment,
04/01/17,"32 FOXBOROUGH DOWNES, LUCAN, DUBLIN",,Dublin,258000,No,No,Second-Hand Dwelling house /Apartment,
04/01/17,"4 LORCAN DR, SANTRY, DUBLIN 9",Dublin 9,Dublin,337500,No,No,Second-Hand Dwelling house /Apartment,
04/01/17,"4 OTTERBROOK, WILLBROOK RD, RATHFARNHAM DUBLIN 14",Dublin 14,Dublin,357500,No,No,Second-Hand Dwelling house /Apartment,
04/01/17,"46 GLEDSWOOD PARK, CLONSKEAGH, DUBLIN 14",Dublin 14,Dublin,612000,No,No,Second-Hand Dwelling house /Apartment,
04/01/17,"67 MARLBOROUGH COURT, MARLBOROUGH ST, DUBLIN 1",Dublin 1,Dublin,206000,No,No,Second-Hand Dwelling house /Apartment,
04/01/17,"70 PREMIER SQ, FINGLAS, DUBLIN 11",Dublin 11,Dublin,199000,No,No,Second-Hand Dwelling house /Apartment,
04/01/17,"73 TAYLEURS POINT, RUSH, DUBLIN",,Dublin,256000,No,No,Second-Hand Dwelling house /Apartment,
04/01/17,"82 FFORSTER LAWNS LUCAN, DUBLIN",,Dublin,310000,No,No,Second-Hand Dwelling house /Apartment,
04/01/17,"9 WADELAI RD, GLASNEVIN, DUBLIN 11",Dublin 11,Dublin,355000,No,No,Second-Hand Dwelling house /Apartment,
04/01/17,"92 SHANDON PARK, PHIBSBOROUGH, DUBLIN",Dublin 7,Dublin,450000,No,No,Second-Hand Dwelling house /Apartment,
04/01/17,"APT 1, 23 LOWER LEESON ST, DUBLIN 2",Dublin 2,Dublin,2150000,No,No,Second-Hand Dwelling house /Apartment,
04/01/17,"APT 2, 1 LOWER HATCH ST, DUBLIN 2",Dublin 2,Dublin,1200000,No,No,Second-Hand Dwelling house /Apartment,
04/01/17,"HERBERT LANE MEWS, HERBERT LANE, REAR 66 LOWER BAGGOT ST DUBLIN 2",Dublin 2,Dublin,400000,No,No,Second-Hand Dwelling house /Apartment,
04/01/17,"NO. 13 BELLTREE AVENUE, CLONGRIFFIN, DUBLIN 13",,Dublin,290000,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
05/01/17,"11 STOCKINGWELL ROW, STOCKING AVE, RATHFARNHAM DUBLIN 16",Dublin 16,Dublin,249000,No,No,Second-Hand Dwelling house /Apartment,
05/01/17,"12 LIBERTY COURT, LR CLANBRASSIL ST, DUBLIN 8",Dublin 8,Dublin,191000,No,No,Second-Hand Dwelling house /Apartment,
05/01/17,"12 LISSADEL GROVE, MALAHIDE, DUBLIN",,Dublin,475000,No,No,Second-Hand Dwelling house /Apartment,
05/01/17,"12 MOUNT EAGLE DR, LEOPARDSTOWN HEIGHTS, SANDYFORD DUBLIN 18",Dublin 18,Dublin,440000,No,No,Second-Hand Dwelling house /Apartment,
05/01/17,"123 KILLALA  ROAD, CABRA, DUBLIN 7",Dublin 7,Dublin,170000,No,No,Second-Hand Dwelling house /Apartment,
05/01/17,"129 CHERRY AVE, RIVERVALLEY, SWORDS",,Dublin,261000,No,No,Second-Hand Dwelling house /Apartment,
05/01/17,"13 ALLENDALE ELMS, CLONSILLA, DUBLIN 15",Dublin 15,Dublin,214000,No,No,Second-Hand Dwelling house /Apartment,
05/01/17,"13 THE RISE, GLASNEVIN, DUBLIN 9",Dublin 9,Dublin,560000,No,No,Second-Hand Dwelling house /Apartment,
05/01/17,"18 Tullyhall Close, Lucan",,Dublin,262115,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
05/01/17,"2 SYCAMORE HOUSE, EATON WOOD SQ, SHANKILL",Dublin 18,Dublin,170000,No,No,Second-Hand Dwelling house /Apartment,
05/01/17,"2 THE CRESCENT, GRIFFITH DOWNS, DRUMCONDRA DUBLIN 9",Dublin 9,Dublin,575000,No,No,Second-Hand Dwelling house /Apartment,
05/01/17,"28 MAXWELL ST, THE COOMBE, DUBLIN 8",Dublin 8,Dublin,184500,No,No,Second-Hand Dwelling house /Apartment,
05/01/17,"3 Dodderbrook Park, OLDCOURT ROAD, BALLYCULLEN",Dublin 24,Dublin,307885,No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres
05/01/17,"3 USHER PARK, KNOCKSEDAN DEMENSE, SWORDS",,Dublin,436123,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
05/01/17,"30 Abbot's Grove, Knocklyon, Dublin 16",Dublin 16,Dublin,394000,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
05/01/17,"30DEANSTOWN PARK, FINGLAS WEST, DUBLIN 11",Dublin 11,Dublin,180000,No,No,Second-Hand Dwelling house /Apartment,
05/01/17,"348 SOUTH CIRCULAR ROAD, DUBLIN 8",,Dublin,435000,No,No,Second-Hand Dwelling house /Apartment,
05/01/17,"35 FORBES QUAY, SIR GEORGE ROGERSONS QUAY, GRAND CANAL SQ",Dublin 2,Dublin,453000,No,No,Second-Hand Dwelling house /Apartment,
05/01/17,"369 The Oak, Trimbleston, Goatstown Road",Dublin 14,Dublin,352423,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
05/01/17,"49 THE PARKLANDS, CASTLESIDE DR, DUBLIN 14",Dublin 14,Dublin,350000,No,No,Second-Hand Dwelling house /Apartment,
05/01/17,"50 DOLLYMOUNT AVENUE, CLONTARF, DUBLIN 3",Dublin 3,Dublin,450000,No,No,Second-Hand Dwelling house /Apartment,
05/01/17,"64A SOUTH HILL, DARTRY, DUBLIN 6",Dublin 6,Dublin,1050000,No,No,Second-Hand Dwelling house /Apartment,
05/01/17,"65 WILFORD COURT, CORKE ABBEY AVE, BRAY",,Dublin,320000,No,No,Second-Hand Dwelling house /Apartment,
05/01/17,"8 Dodderbrook Park, Ballycullen",Dublin 24,Dublin,285859,No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres
05/01/17,"81 ROEBUCK CASTLE, CLONSKEAGH, DUBLIN 14",Dublin 14,Dublin,466000,No,No,Second-Hand Dwelling house /Apartment,
05/01/17,"89 GLEANN NA RI, VALLEY AVE, CABINTEELY DUBLIN 18",Dublin 18,Dublin,243000,No,No,Second-Hand Dwelling house /Apartment,
05/01/17,"9 KNOCKLYON CLOSE, KNOCKLYON WOODS, DUBLIN 16",Dublin 16,Dublin,456000,No,No,Second-Hand Dwelling house /Apartment,
05/01/17,"APT 1, BLK 6 CLARION QUAY APTS, EXCISE WALK DUBLIN 1",Dublin 1,Dublin,345000,No,No,Second-Hand Dwelling house /Apartment,
05/01/17,"APT 6 BELLGREE HALL, OFF BELLGREE RISE, TYRRELSTOWN DUBLIN 15",Dublin 15,Dublin,165000,No,No,Second-Hand Dwelling house /Apartment,
05/01/17,"APT 8, KELSTON HALL, LEOPARDSTOWN RD DUBLIN 18",Dublin 18,Dublin,392000,No,No,Second-Hand Dwelling house /Apartment,
05/01/17,"No. 5, St Davids Court, Artane",Dublin 5,Dublin,444934,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
05/01/17,"RENRAW, 39 WARNERS LANE, DUBLIN 6",Dublin 6,Dublin,990000,No,No,Second-Hand Dwelling house /Apartment,
05/01/17,"THE LODGE, MOUNT PROSPECT AVENUE, CLONTARF",,Dublin,940000,No,No,Second-Hand Dwelling house /Apartment,
06/01/17,"1 GULLISTAN TERRACE, RATHMINES, DUBLIN 6",Dublin 6,Dublin,905000,No,No,Second-Hand Dwelling house /Apartment,
06/01/17,"1 UPPER MAIN ST, RUSH, MAIN ST",,Dublin,380000,No,No,Second-Hand Dwelling house /Apartment,
06/01/17,"104 BELLGREE BLVD, TYRRELSTOWN, DUBLIN 15",Dublin 15,Dublin,214000,No,No,Second-Hand Dwelling house /Apartment,
06/01/17,"10A MOATFIELD RD, COOLOCK, DUBLIN 5",Dublin 5,Dublin,285000,No,No,Second-Hand Dwelling house /Apartment,
06/01/17,"11 LISSADEL WOOD, MALAHIDE, DUBLIN",,Dublin,260000,No,No,Second-Hand Dwelling house /Apartment,
06/01/17,"117 KNOCKMAREE, ST LAWRENCE RD, CHAPELIZOD DUBLIN 20",Dublin 20,Dublin,237000,No,No,Second-Hand Dwelling house /Apartment,
06/01/17,"118 PORTERSFIELD, CLONSILLA RD, DUBLIN 15",Dublin 15,Dublin,292500,No,No,Second-Hand Dwelling house /Apartment,
06/01/17,"12 KILAKEE CLOSE, GREEN HILLS RD, DUBLIN 12",Dublin 12,Dublin,330000,No,No,Second-Hand Dwelling house /Apartment,
06/01/17,"120 MERRION RD, DUBLIN 4, DUBLIN",Dublin 4,Dublin,2325000,No,No,Second-Hand Dwelling house /Apartment,
06/01/17,"121 DUNMORE LAWN, BALLYMOUNT, DUBLIN 24",Dublin 24,Dublin,301000,No,No,Second-Hand Dwelling house /Apartment,
06/01/17,"13 BAYVIEW AVE, NORTH STRAND, DUBLIN 3",Dublin 3,Dublin,235000,No,No,Second-Hand Dwelling house /Apartment,
06/01/17,"140 CARRIGMORE CRESCENT, CITYWEST WEST, SAGGART",Dublin 24,Dublin,163000,No,No,Second-Hand Dwelling house /Apartment,
06/01/17,"15 SILVER PINES, BREWERY RD, STILLORGAN",,Dublin,540000,No,No,Second-Hand Dwelling house /Apartment,
06/01/17,"19A WHEATFIELD CRESENT, CLONDALKIN, DUBLIN 22",Dublin 22,Dublin,136000,No,No,Second-Hand Dwelling house /Apartment,
06/01/17,"20 waterside lawn, swords road, malahide",,Dublin,300235,No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres
06/01/17,"22 BERTRAM COURT, CHRISTCHURCH, DUBLIN 8",Dublin 15,Dublin,240000,No,No,Second-Hand Dwelling house /Apartment,
06/01/17,"23 Dodderbrook Park, Oldcourt Road, Ballycullen",,Dublin,351940,No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres
06/01/17,"28 CLUNY GROVE, KILLINEY, CO DUBLIN",,Dublin,283332,Yes,No,Second-Hand Dwelling house /Apartment,
06/01/17,"28 MARETIMO GARDENS EAST, BLACKROCK, DUBLIN",,Dublin,870000,No,No,Second-Hand Dwelling house /Apartment,
06/01/17,"29 AUBURN ST, BROADSTONE, PHIBSBORO",Dublin 7,Dublin,346000,No,No,Second-Hand Dwelling house /Apartment,
06/01/17,"29 GLENGARRIFFE PARADE, NORTH CIRCULAR RD, DUBLIN 7",Dublin 7,Dublin,335000,No,No,Second-Hand Dwelling house /Apartment,
06/01/17,"305C THE CRESCENT, BELGARD HEIGHTS, DUBLIN 24",Dublin 24,Dublin,365000,No,No,Second-Hand Dwelling house /Apartment,
06/01/17,"32 OAKLANDS TERRACE, RATHGAR, DUBLIN 6",Dublin 6,Dublin,647000,No,No,Second-Hand Dwelling house /Apartment,
06/01/17,"32 PHILIPSBURGH AVE, FAIRVIEW, DUBLIN 3",Dublin 3,Dublin,400000,No,No,Second-Hand Dwelling house /Apartment,
06/01/17,"34 CLANAWLEY RD, KILLESTER, DUBLIN 5",Dublin 5,Dublin,315000,No,No,Second-Hand Dwelling house /Apartment,
06/01/17,"36 CASTLELAWNS, SANDYFORD DUBLIN 18, DUBLIN",Dublin 18,Dublin,282000,No,No,Second-Hand Dwelling house /Apartment,
06/01/17,"47 CALEDON RD, EAST WALL, DUBLIN 3",Dublin 3,Dublin,240000,No,No,Second-Hand Dwelling house /Apartment,
06/01/17,"5 TREES RD, MOUNT MERRION, DUBLIN",,Dublin,930000,No,No,Second-Hand Dwelling house /Apartment,
06/01/17,"50 diswellstown way, castleknock, dublin 15",Dublin 15,Dublin,405286,No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres
06/01/17,"56 CRUMLIN RD, CRUMLIN, DUBLIN 12",Dublin 12,Dublin,357693,No,No,Second-Hand Dwelling house /Apartment,
06/01/17,"59 SUTTON PARK, SUTTON, DUBLIN 13",Dublin 13,Dublin,565000,No,No,Second-Hand Dwelling house /Apartment,
06/01/17,"6 Elder Heath Meadow, Kiltipper, Tallaght",Dublin 24,Dublin,251102,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
06/01/17,"63 LEVMOSS AVENUE, LEVMOSS PARK, THE GALLOPS",Dublin 18,Dublin,405286,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
06/01/17,"69 PECKS LANE, CASTLEKNOCK, DUBLIN 15",Dublin 15,Dublin,450000,No,No,Second-Hand Dwelling house /Apartment,
06/01/17,"74 ELMCASTLE PARK, KILNAMANAGH, DUBLIN 24",Dublin 24,Dublin,190000,Yes,No,Second-Hand Dwelling house /Apartment,
06/01/17,"8 CASTLEFIELD ORCHARD, CASTELFIELD MANOR, DUBLIN 16",Dublin 16,Dublin,310000,No,No,Second-Hand Dwelling house /Apartment,
06/01/17,"91 FITZROY AVE, DRUMCONDRA, DUBLIN 3",Dublin 3,Dublin,290000,No,No,Second-Hand Dwelling house /Apartment,
06/01/17,"97 SHANTALLA RD, WHITEHALL, DUBLIN 9",Dublin 9,Dublin,335000,No,No,Second-Hand Dwelling house /Apartment,
06/01/17,"APT 37, ST PATRICKS COURT, CLANBRASSIL ST DUBLIN 8",Dublin 8,Dublin,365000,No,No,Second-Hand Dwelling house /Apartment,
06/01/17,"APT.1 - THE BAKERY, UNIT 11 TRADE CENTRE, GEORGES HILL BALBRIGGAN",,Dublin,220000,No,No,Second-Hand Dwelling house /Apartment,
06/01/17,"EBENEZER, SORRENTO RD, DALKEY",,Dublin,655000,No,No,Second-Hand Dwelling house /Apartment,
09/01/17,"1 Brock Hall, Brock'sLane, Dun Laoghaire",,Dublin,123348,No,Yes,New Dwelling house /Apartment,less than 38 sq metres
09/01/17,"15 SEAMOUNT HEIGHTS, MALAHIDE, DUBLIN",,Dublin,610000,No,No,Second-Hand Dwelling house /Apartment,
09/01/17,"16 ROSMEEN PARK, DUN LAOGHAIRE, DUBLIN",,Dublin,850569,No,No,Second-Hand Dwelling house /Apartment,
09/01/17,"17 BUNRATTY AVE, COOLOCK, DUBLIN 17",Dublin 17,Dublin,230000,No,No,Second-Hand Dwelling house /Apartment,
09/01/17,"1a Brock Hall, Brock Lane, Dun Laoghaire",,Dublin,123348,No,Yes,New Dwelling house /Apartment,less than 38 sq metres
09/01/17,"2 ORBY DR, THE GALLOPS, LEOPARDSTOWN DUBLIN 18",Dublin 18,Dublin,580000,No,No,Second-Hand Dwelling house /Apartment,
09/01/17,"28 WESTON DR, WESTON PARK, LUCAN",,Dublin,445000,No,No,Second-Hand Dwelling house /Apartment,
09/01/17,"366 CASHEL RD, KIMMAGE, DUBLIN 12",Dublin 12,Dublin,182000,No,No,Second-Hand Dwelling house /Apartment,
09/01/17,"4 KINGSTON HALL, HAROLDS RD, SANDYFORD DUBLIN 18",Dublin 18,Dublin,290000,No,No,Second-Hand Dwelling house /Apartment,
09/01/17,"4 PARK AVE, STREAMSTOWN LANE, MALAHIDE",,Dublin,900000,No,No,New Dwelling house /Apartment,greater than or equal to 125 sq metres
09/01/17,"49 PROSPECT AVE, RATHFARNHAM, DUBLIN 16",Dublin 16,Dublin,460000,No,No,Second-Hand Dwelling house /Apartment,
09/01/17,"53 THE CLAYTON, GASWORKS, BARROW STREET",,Dublin,305000,No,No,Second-Hand Dwelling house /Apartment,
09/01/17,"53 THE PARK, HOLLYSTOWN, DUBLIN 15",Dublin 15,Dublin,390000,No,No,Second-Hand Dwelling house /Apartment,
09/01/17,"6 GEORGES PLACE, DUN LAOGHAIRE, DUBLIN",,Dublin,470000,No,No,Second-Hand Dwelling house /Apartment,
09/01/17,"61 MAPLEWOOD PARK, SPRINGFIELD, TALLAGHT DUBLIN 24",Dublin 24,Dublin,188500,No,No,Second-Hand Dwelling house /Apartment,
09/01/17,"7 CASTLEKNOCK BROOK, CASTLEKNOCK, DUBLIN 15",Dublin 15,Dublin,310000,No,No,Second-Hand Dwelling house /Apartment,
09/01/17,"7 HANSTED WAY, FINNSTOWN, LUCAN",,Dublin,255000,No,No,Second-Hand Dwelling house /Apartment,
09/01/17,"71 BEAUMONT RD, BEAUMONT, DUBLIN 9",Dublin 9,Dublin,405000,No,No,Second-Hand Dwelling house /Apartment,
09/01/17,"79 COLLINS AVE, DUBLIN 9, DUBLIN",Dublin 9,Dublin,375000,No,No,Second-Hand Dwelling house /Apartment,
09/01/17,"82 PORTMARNOCK DRIVE, PORTMARNOCK, CO DUBLIN",Dublin 13,Dublin,450000,No,No,Second-Hand Dwelling house /Apartment,
09/01/17,"9 OLNEY CRESCENT, TERENURE, DUBLIN 6W",,Dublin,680000,No,No,Second-Hand Dwelling house /Apartment,
09/01/17,"99 FERNLEIGH DR, RIVERWOOD, CASTLEKNOCK DUBLIN 15",Dublin 15,Dublin,160000,No,No,Second-Hand Dwelling house /Apartment,
09/01/17,"APT 8, ROEBUCK LAWN, CLONSKEAGH DUBLIN 14",Dublin 14,Dublin,282000,No,No,Second-Hand Dwelling house /Apartment,
09/01/17,"CRANMER LODGE, 26A CRANMER LANE, BALLSBRIDGE DUBLIN 4",Dublin 4,Dublin,650000,No,No,Second-Hand Dwelling house /Apartment,
09/01/17,"HILLSIDE, WESTMINSTER RD, DUBLIN 18",Dublin 18,Dublin,1800000,No,No,Second-Hand Dwelling house /Apartment,
09/01/17,"SPICERS MILL, BALBRIGGAN, DUBLIN",,Dublin,6105727,No,No,Second-Hand Dwelling house /Apartment,
10/01/17,"1 BARNACOILLE PARK, DALKEY, DUBLIN",,Dublin,1325000,No,No,Second-Hand Dwelling house /Apartment,
10/01/17,"11ECHLIN COURT, RUSH, DUBLIN",,Dublin,260000,No,No,Second-Hand Dwelling house /Apartment,
10/01/17,"12 PARK VILLAS, CASTLEKNOCK, DUBLIN 15",Dublin 15,Dublin,545000,No,No,Second-Hand Dwelling house /Apartment,
10/01/17,"137 KEEPER RD, DRIMNAGH, DUBLIN 12",Dublin 12,Dublin,230000,No,No,Second-Hand Dwelling house /Apartment,
10/01/17,"13A OLDCOURT RD, FIRHOUSE, DUBLIN 24",Dublin 24,Dublin,248050,No,No,Second-Hand Dwelling house /Apartment,
10/01/17,"17 BROOK VALE, RATHFARNHAM, DUBLIN 14",Dublin 14,Dublin,680000,No,No,Second-Hand Dwelling house /Apartment,
10/01/17,"17 SERPENTINE AVE, BALLSBRIDGE, DUBLIN 4",Dublin 4,Dublin,530000,No,No,Second-Hand Dwelling house /Apartment,
10/01/17,"17 SERPENTINE AVE, BALLSBRIDGE, DUBLIN 4",Dublin 4,Dublin,500000,No,No,Second-Hand Dwelling house /Apartment,
10/01/17,"19 CAMERON SQUARE, KILMAINHAM, DUBLIN 8",Dublin 8,Dublin,240000,No,No,Second-Hand Dwelling house /Apartment,
10/01/17,"2 PEAMOUNT ROAD, NEWCASTLE, CO DUBLIN",,Dublin,120000,No,No,Second-Hand Dwelling house /Apartment,
10/01/17,"23 BALLYGALL CRESENT, FINGLAS EAST, DUBLIN 11",,Dublin,210000,No,No,Second-Hand Dwelling house /Apartment,
10/01/17,"25 LANESBOROUGH VIEW, CHARLESTOWN, FINGLAS DUBLIN 11",Dublin 11,Dublin,243000,No,No,Second-Hand Dwelling house /Apartment,
10/01/17,"25 SEAFIELD RD, THE GABLES, DUBLIN 3",Dublin 3,Dublin,1300000,No,No,Second-Hand Dwelling house /Apartment,
10/01/17,"25 THE VIEW, ROBSWALL, MALAHIDE",,Dublin,650000,No,No,Second-Hand Dwelling house /Apartment,
10/01/17,"266 SUNDRIVE RD, DUBLIN 12, DUBLIN",Dublin 12,Dublin,340000,No,No,Second-Hand Dwelling house /Apartment,
10/01/17,"266 WYCKHAM POINT, DUNDRUM, DUBLIN 14",Dublin 16,Dublin,341000,No,No,Second-Hand Dwelling house /Apartment,
10/01/17,"27 Belarmine Grove, Belarmine Woods, Stepaside",,Dublin,419525,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
10/01/17,"29 RIVERWOOD CHASE, CASTLEKNOCK, DUBLIN 15",Dublin 15,Dublin,360000,No,No,Second-Hand Dwelling house /Apartment,
10/01/17,"3 THORNFIELD SQ, WATERY LANE, CLONDALKIN DUBLIN 22",Dublin 22,Dublin,140000,No,No,Second-Hand Dwelling house /Apartment,
10/01/17,"337 The Oak, Trimbleston, Goatstown Road",Dublin 14,Dublin,484581,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
10/01/17,"34 MERRION STRAND, STRAND RD, SANDYMOUNT",Dublin 4,Dublin,436000,No,No,Second-Hand Dwelling house /Apartment,
10/01/17,"35 EMMORVILLE AVE, SOUTH CIRCULAR RD, DUBLIN 8",Dublin 8,Dublin,675000,No,No,Second-Hand Dwelling house /Apartment,
10/01/17,"4 OLD RECTORY PARK, TANEY RD, DUNDRUM DUBLIN 14",Dublin 14,Dublin,544500,No,No,Second-Hand Dwelling house /Apartment,
10/01/17,"40 LES BUISSONNETS, FRASCATI ROAD, BLACKROCK",,Dublin,325000,No,No,Second-Hand Dwelling house /Apartment,
10/01/17,"47 CLAREMONT CRESCENT, GLASNEVIN, DUBLIN 9",Dublin 11,Dublin,372500,No,No,Second-Hand Dwelling house /Apartment,
10/01/17,"53 MARGUERITE ROAD, GLASNEVIN, DUBLIN 9",Dublin 9,Dublin,600000,No,No,Second-Hand Dwelling house /Apartment,
10/01/17,"55 DORSET SQUARE, DUBLIN 1",,Dublin,125000,Yes,No,Second-Hand Dwelling house /Apartment,
10/01/17,"6 KILLANE RD, EAST WALL, DUBLIN 3",Dublin 3,Dublin,265000,No,No,Second-Hand Dwelling house /Apartment,
10/01/17,"61 62 THE PAVILLION, MARINE RD, DUN LAOGHAIRE",,Dublin,815000,No,No,Second-Hand Dwelling house /Apartment,
10/01/17,"77 BEALING BLVD, TYRRELSTOWN, DUBLIN 15",Dublin 15,Dublin,235000,No,No,Second-Hand Dwelling house /Apartment,
10/01/17,"86 CRANFORD COURT, STILLORGAN RD, DUBLIN 4",Dublin 4,Dublin,225000,No,No,Second-Hand Dwelling house /Apartment,
10/01/17,"9 COLLIS COURT, JUGBACK LANE, SWORDS",,Dublin,130000,No,No,Second-Hand Dwelling house /Apartment,
10/01/17,"9 THE LAURELS, TERENURE RD WEST, DUBLIN 6W",,Dublin,410000,No,No,Second-Hand Dwelling house /Apartment,
